fsa,horizon,magnitude_c,metric,symmetry_residual
M5R,6,5.0,forecast_delta_kwh,274.77145279776596
M5R,7,5.0,forecast_delta_kwh,472.3608044921202
M5R,8,5.0,forecast_delta_kwh,364.6165719110704
M5R,9,5.0,forecast_delta_kwh,137.26495501266618
M5R,10,5.0,forecast_delta_kwh,163.62375191484898
M5R,11,5.0,forecast_delta_kwh,379.4041109714708
M5R,12,5.0,forecast_delta_kwh,329.59656505177736
M5R,13,5.0,forecast_delta_kwh,249.01715411151417
M5R,14,5.0,forecast_delta_kwh,296.3838516432734
M5R,15,5.0,forecast_delta_kwh,242.62246423676334
M5R,16,5.0,forecast_delta_kwh,123.20981895886507
M5R,17,5.0,forecast_delta_kwh,37.47746060006102
M5R,18,5.0,forecast_delta_kwh,53.15794274485597
M5R,19,5.0,forecast_delta_kwh,72.26824823226707
M5R,20,5.0,forecast_delta_kwh,34.42774185659982
M5R,21,5.0,forecast_delta_kwh,-47.63294372814562
M5R,22,5.0,forecast_delta_kwh,34.839585456875284
M5R,23,5.0,forecast_delta_kwh,-69.49872380173292
M5R,24,5.0,forecast_delta_kwh,-7.988481932125069
M5S,1,5.0,forecast_delta_kwh,36.35885965765465
M5S,2,5.0,forecast_delta_kwh,45.33014052557883
M5S,3,5.0,forecast_delta_kwh,51.99011391222939
M5S,4,5.0,forecast_delta_kwh,162.76370796162428
M5S,5,5.0,forecast_delta_kwh,123.31936911729736
M5S,6,5.0,forecast_delta_kwh,9.329407103112317
M5S,7,5.0,forecast_delta_kwh,-48.692735124505816
M5S,8,5.0,forecast_delta_kwh,6.574799509467994
M5S,9,5.0,forecast_delta_kwh,20.28720562829767
M5S,10,5.0,forecast_delta_kwh,-10.60449684710511
M5S,11,5.0,forecast_delta_kwh,-46.766733366359404
M5S,12,5.0,forecast_delta_kwh,-41.28931429972363
M5S,13,5.0,forecast_delta_kwh,-57.92387267428967
M5S,14,5.0,forecast_delta_kwh,-4.03659805191819
M5S,15,5.0,forecast_delta_kwh,16.15028031716247
M5S,16,5.0,forecast_delta_kwh,-2.75522376175104
M5S,17,5.0,forecast_delta_kwh,-18.482970294718143
M5S,18,5.0,forecast_delta_kwh,31.491397100708127
M5S,19,5.0,forecast_delta_kwh,12.058378015620292
M5S,20,5.0,forecast_delta_kwh,23.787261874409523
M5S,21,5.0,forecast_delta_kwh,24.05402839776798
M5S,22,5.0,forecast_delta_kwh,39.15948148458483
M5S,23,5.0,forecast_delta_kwh,66.80583121428026
M5S,24,5.0,forecast_delta_kwh,40.70183412175447
M6G,1,5.0,forecast_delta_kwh,407.121108455387
M6G,2,5.0,forecast_delta_kwh,320.69337965542945
M6G,3,5.0,forecast_delta_kwh,210.5076514937682
M6G,4,5.0,forecast_delta_kwh,319.398577127904
M6G,5,5.0,forecast_delta_kwh,520.6590572607529
M6G,6,5.0,forecast_delta_kwh,576.0965685340889
M6G,7,5.0,forecast_delta_kwh,518.1356701371769
M6G,8,5.0,forecast_delta_kwh,347.85202861808466
M6G,9,5.0,forecast_delta_kwh,417.8601394440684
M6G,10,5.0,forecast_delta_kwh,515.8757228781669
M6G,11,5.0,forecast_delta_kwh,331.8017892514181
M6G,12,5.0,forecast_delta_kwh,351.1082675173693
