threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
0.75,0.9896901793698385,0.1745750445368171,0.2967969902277047,0.5863256818161472,18815,196,88961,101692,82.54249554631829,0.1923680904522613,9.067364926739927,51.4041514041514,209664
0.76,0.9901427417182871,0.17055745249406176,0.29099025652796795,0.5843806813349706,18382,183,89394,101705,82.94425475059383,0.1796089824120603,8.854643620268622,51.4041514041514,209664
0.77,0.9901717188449008,0.16639140439429928,0.2849063048607084,0.5823221940313205,17933,178,89843,101710,83.36085956057006,0.17470163316582915,8.638106684981684,51.4041514041514,209664
0.78,0.990414066931367,0.1620119507125891,0.27847152448846146,0.5801766333336814,17461,169,90315,101719,83.79880492874109,0.16586840452261306,8.408692002442002,51.4041514041514,209664
0.79,0.9904878618113913,0.15748404097387173,0.2717593185602664,0.5779421225598002,16973,163,90803,101725,84.25159590261283,0.15997958542713567,8.173076923076923,51.4041514041514,209664
0.8,0.9905609330848314,0.15287262470308788,0.26486829730968015,0.5756658585198856,16476,157,91300,101731,84.71273752969121,0.15409076633165827,7.933169261294261,51.4041514041514,209664
0.81,0.9911119398346696,0.14795501781472684,0.2574738626730715,0.5732757579651524,15946,143,91830,101745,85.20449821852732,0.14035018844221106,7.673706501831503,51.4041514041514,209664
0.82,0.9912596401028277,0.14311163895486936,0.25011351105922036,0.5708884199799472,15424,136,92352,101752,85.68883610451307,0.13347989949748743,7.421398046398046,51.4041514041514,209664
0.83,0.9915389740173218,0.13809196852731592,0.24242177446940205,0.5684227509093867,14883,127,92893,101761,86.19080314726841,0.12464667085427135,7.159073565323565,51.4041514041514,209664
0.84,0.9923796328368548,0.1329145635391924,0.23443061590200553,0.5659174733525107,14325,110,93451,101778,86.70854364608076,0.10796168341708542,6.884825244200245,51.4041514041514,209664
0.85,0.9926896352055588,0.12725467636579574,0.22559049937495887,0.5631316959090286,13715,101,94061,101787,87.27453236342043,0.09912845477386935,6.589590964590965,51.4041514041514,209664
0.86,0.9927355278093076,0.12172468824228029,0.21685910522270252,0.5603912385935019,13119,96,94657,101792,87.82753117577197,0.09422110552763818,6.3029418498168495,51.4041514041514,209664
0.87,0.9930164272676771,0.11610191508313539,0.20789685737308622,0.5576191108078994,12513,88,95263,101800,88.38980849168647,0.08636934673366835,6.010092338217339,51.4041514041514,209664
0.88,0.9933591123066577,0.10964407660332541,0.19748980546827996,0.5544343577112104,11817,79,95959,101809,89.03559233966746,0.07753611809045226,5.673840048840049,51.4041514041514,209664
0.89,0.9936612802428355,0.10326974465558195,0.1870949847449507,0.5512864505313085,11130,71,96646,101817,89.6730255344418,0.06968435929648241,5.342357295482295,51.4041514041514,209664
0.9,0.9937846624593613,0.09643148752969122,0.1758039142716985,0.5478967660638405,10393,65,97383,101823,90.35685124703087,0.06379554020100503,4.987980769230769,51.4041514041514,209664
