threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
0.73,0.6843622688812284,0.34752303505784626,0.46096528723258295,0.6672799204510474,65514,30216,123003,2300691,65.24769649421538,1.2963194155751387,3.799678021643042,7.4825436290199665,2519424
0.74,0.6893239195549851,0.34181532699968703,0.45701195402787975,0.6646778997211943,64438,29042,124079,2301865,65.81846730003129,1.245952755729851,3.7103718945282727,7.4825436290199665,2519424
0.75,0.6942152387640449,0.3356089901706477,0.4524750315569652,0.6618265646059011,63268,27868,125249,2303039,66.43910098293523,1.1955860958845634,3.617334755880709,7.4825436290199665,2519424
0.76,0.6987730751913552,0.329301866675154,0.44764689551732967,0.6589104640696053,62079,26761,126438,2304146,67.06981333248461,1.1480938535943306,3.526202814611594,7.4825436290199665,2519424
0.77,0.7044373734451836,0.3229470021271291,0.4428643132006023,0.6559940889720483,60881,25544,127636,2305363,67.70529978728709,1.0958824183032614,3.4303475715084084,7.4825436290199665,2519424
0.78,0.7092906973975571,0.3160404631943008,0.437252995247968,0.6527821418749951,59579,24419,128938,2306488,68.39595368056992,1.0476179444310734,3.334016029060611,7.4825436290199665,2519424
0.79,0.714129861851702,0.30903313759501794,0.43138735856880517,0.6495140097078499,58258,23321,130259,2307586,69.0966862404982,1.000511817931818,3.2380020195092207,7.4825436290199665,2519424
0.8,0.7193024578252354,0.30194624357485,0.42534335629847714,0.6462082384179899,56922,22213,131595,2308694,69.805375642515,0.9529766738870319,3.1409957196565563,7.4825436290199665,2519424
0.81,0.7249094925045417,0.2942174976262088,0.4185563898426593,0.6425937681639408,55465,21048,133052,2309859,70.57825023737912,0.9029961298327218,3.036924312858812,7.4825436290199665,2519424
0.82,0.7307088956806318,0.28662136571237606,0.41173803545642623,0.639039169664113,54033,19913,134484,2310994,71.33786342876239,0.8543026384150033,2.9350359447238734,7.4825436290199665,2519424
0.83,0.7367386481705092,0.27834094537893134,0.40403635957634393,0.6351484332001167,52472,18750,136045,2312157,72.16590546210686,0.8044078978697992,2.8269159934969266,7.4825436290199665,2519424
0.84,0.7423930350438962,0.2695884190815682,0.3955419614435702,0.6310113473330684,50822,17635,137695,2313272,73.04115809184317,0.7565724415431417,2.7171686861758877,7.4825436290199665,2519424
0.85,0.7484943203476405,0.26040091875003313,0.3863802724890005,0.6266621371682533,49090,16495,139427,2314412,73.95990812499669,0.707664441352658,2.6031743763653914,7.4825436290199665,2519424
0.86,0.7553930413399971,0.250948190348881,0.37674003758799735,0.6221880352844492,47308,15319,141209,2315588,74.9051809651119,0.6572119779982643,2.4857665879185085,7.4825436290199665,2519424
0.87,0.7634061985829892,0.24119840650975774,0.36657677594637195,0.6175763456290705,45470,14092,143047,2316815,75.88015934902423,0.6045715251616646,2.3641117969821672,7.4825436290199665,2519424
0.88,0.7720229326044126,0.23072189775988372,0.3552700362662136,0.6126057982025446,43495,12844,145022,2318063,76.92781022401162,0.5510301354794507,2.236185731341767,7.4825436290199665,2519424
0.89,0.7808770967680932,0.2190359490125559,0.3421100598187211,0.6070324613562467,41292,11587,147225,2319320,78.09640509874441,0.49710263000625937,2.0988527536452777,7.4825436290199665,2519424
0.9,0.7890545852413178,0.20657553430194625,0.3274295731720134,0.6010545163177138,38943,10411,149574,2320496,79.34244656980538,0.4466501666518656,1.9589398211654725,7.4825436290199665,2519424
