fold,horizon,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,pr_auc,roc_auc,model_key,model,family,predicted_positive_rate_pct,brier_score
fold_2023,6,0.8209042865531415,0.2434267804283475,0.3755036261079774,0.6184459765060342,52416,10.956578144078144,0.6897857114588951,0.9464609375660747,random_forest,Random Forest Classifier,Bagging,3.2490079365079367,0.0643798855191223
fold_2023,7,0.8137313432835821,0.2373324046665506,0.3674844971690482,0.6153237988023259,52416,10.956578144078144,0.6836614540877124,0.9436584566555372,random_forest,Random Forest Classifier,Bagging,3.1955891330891326,0.0643545593753079
fold_2023,8,0.8168257756563246,0.2383771547971443,0.369052432942445,0.6158997380267727,52416,10.956578144078144,0.6851716696588889,0.9435423279169732,random_forest,Random Forest Classifier,Bagging,3.1974969474969472,0.0637191168034602
fold_2023,9,0.7896995708154506,0.2242730280341285,0.3493355031190669,0.6084620126993859,52416,10.956578144078144,0.6551010654670419,0.9390491334490504,random_forest,Random Forest Classifier,Bagging,3.111645299145299,0.065445696570018
fold_2023,10,0.7865961199294532,0.2329792791224099,0.3594841483073616,0.6126008816069273,52416,10.956578144078144,0.6462923212576255,0.935747758776903,random_forest,Random Forest Classifier,Bagging,3.245192307692308,0.0653690426097241
fold_2023,11,0.7717003567181926,0.2260142782517847,0.3496296296296296,0.6088934117031854,52416,10.956578144078144,0.6315464410051415,0.9332526930497904,random_forest,Random Forest Classifier,Bagging,3.2089438339438336,0.0659558568359118
fold_2023,12,0.76,0.2348537604456824,0.3588243117435829,0.6128631160816003,52416,10.95848595848596,0.6174316760860802,0.930077418877954,random_forest,Random Forest Classifier,Bagging,3.3863705738705736,0.0668354238695226
fold_2023,13,0.7435174746335964,0.2295909486510008,0.3508445271977656,0.6099209269620414,52416,10.960393772893774,0.5995614581445382,0.9265076542034636,random_forest,Random Forest Classifier,Bagging,3.3844627594627594,0.068181663830794
fold_2023,14,0.7351936218678815,0.2246780368952314,0.3441748866968808,0.6073572314324025,52416,10.962301587301589,0.6055547651346375,0.9309256694234932,random_forest,Random Forest Classifier,Bagging,3.3501221001221,0.0677229959375438
fold_2023,15,0.7195121951219512,0.2258569688533147,0.3437955237716859,0.6075073269131045,52416,10.964209401709402,0.5906887094301243,0.9262960886855852,random_forest,Random Forest Classifier,Bagging,3.441697191697192,0.0688062811935696
fold_2023,16,0.7191256830601093,0.2289491997216423,0.3473211929268936,0.6089676143461216,52416,10.966117216117215,0.5850110114445038,0.923337770426959,random_forest,Random Forest Classifier,Bagging,3.4913003663003663,0.0690154233314874
fold_2023,17,0.7139737991266376,0.2274782608695652,0.3450276971775257,0.6081247645152694,52416,10.969932844932844,0.5967591604231066,0.929718713372924,random_forest,Random Forest Classifier,Bagging,3.495115995115995,0.0679048723124142
fold_2023,18,0.711864406779661,0.226356050069541,0.3434903047091412,0.6075312737918424,52416,10.973748473748474,0.5810694183833411,0.9234849432286256,random_forest,Random Forest Classifier,Bagging,3.489392551892552,0.0688693327268861
fold_2023,19,0.7228443449048152,0.224365658672228,0.3424403183023872,0.6068787274973587,52416,10.977564102564102,0.5860803554891474,0.9272902580739232,random_forest,Random Forest Classifier,Bagging,3.407356532356532,0.0684567475735087
fold_2023,20,0.7267217630853995,0.2291920069504778,0.3484808454425363,0.6092810723764627,52416,10.979471916971915,0.5968374282065763,0.9270227327405456,random_forest,Random Forest Classifier,Bagging,3.4626831501831505,0.0671430334866654
fold_2023,21,0.7252346193952033,0.2416608756080611,0.3625228042741725,0.6151832024846993,52416,10.98137973137973,0.5860051521888064,0.925613543794254,random_forest,Random Forest Classifier,Bagging,3.6591880341880345,0.0674705123611049
fold_2023,22,0.7155672823218997,0.235539343408025,0.3544171458442237,0.6119937227981208,52416,10.983287545787546,0.5722397206103248,0.9194128159140028,random_forest,Random Forest Classifier,Bagging,3.615308302808303,0.0684071546942204
fold_2023,23,0.7125748502994012,0.2480458572173006,0.3679938152299961,0.6178504859930778,52416,10.983287545787546,0.5773824810142103,0.9216167531401523,random_forest,Random Forest Classifier,Bagging,3.8232600732600734,0.0678284923837323
